route_id,route_short_name,route_long_name,direction_id,seq,stop_id,stop_name,lat,lon,km,length_km,nucleus_slug,nucleus_name,extra_LINEA,extra_ZONA
10T0001C1,C1,Principe Pio                            -Aeropuerto-T4,,0,10000,Madrid-Príncipe Pío,40.421489,-3.718969,0.000,22.501,madrid,Madrid,,
10T0001C1,C1,Principe Pio                            -Aeropuerto-T4,,1,18005,Pirámides,40.402534,-3.711362,2.204,22.501,madrid,Madrid,,
10T0001C1,C1,Principe Pio                            -Aeropuerto-T4,,2,18004,Delicias,40.400438,-3.692777,3.795,22.501,madrid,Madrid,,
10T0001C1,C1,Principe Pio                            -Aeropuerto-T4,,3,18003,Méndez álvaro P.v.,40.395777,-3.677844,5.161,22.501,madrid,Madrid,,
10T0001C1,C1,Principe Pio                            -Aeropuerto-T4,,4,18000,Madrid-Atocha Cercanías,40.406619,-3.689439,6.716,22.501,madrid,Madrid,,
10T0001C1,C1,Principe Pio                            -Aeropuerto-T4,,5,18001,Madrid-Recoletos,40.423373,-3.690931,8.584,22.501,madrid,Madrid,,
10T0001C1,C1,Principe Pio                            -Aeropuerto-T4,,6,18002,Madrid-Nuevos Ministerios,40.446627,-3.692347,11.172,22.501,madrid,Madrid,,
10T0001C1,C1,Principe Pio                            -Aeropuerto-T4,,7,17000,Madrid-Chamartín-Clara Campoamor,40.471179,-3.682952,14.015,22.501,madrid,Madrid,,
10T0001C1,C1,Principe Pio                            -Aeropuerto-T4,,8,98003,Fuente De La Mora,40.484720,-3.663061,16.273,22.501,madrid,Madrid,,
10T0001C1,C1,Principe Pio                            -Aeropuerto-T4,,9,98304,Valdebebas,40.482102,-3.616287,20.240,22.501,madrid,Madrid,,
10T0001C1,C1,Principe Pio                            -Aeropuerto-T4,,10,98305,Madrid-Aeropuerto T4,40.492402,-3.593230,22.501,22.501,madrid,Madrid,,
10T0002C1,C1,Aeropuerto-T4                           -Principe Pio,,0,98305,Madrid-Aeropuerto T4,40.492402,-3.593230,0.000,22.501,madrid,Madrid,,
10T0002C1,C1,Aeropuerto-T4                           -Principe Pio,,1,98304,Valdebebas,40.482102,-3.616287,2.261,22.501,madrid,Madrid,,
10T0002C1,C1,Aeropuerto-T4                           -Principe Pio,,2,98003,Fuente De La Mora,40.484720,-3.663061,6.228,22.501,madrid,Madrid,,
