route_id,route_short_name,route_long_name,direction_id,seq,stop_id,station_id,stop_name,lat,lon,km,length_km,cor_metro,cor_metro_ligero,cor_aeropuerto,cor_bus,cor_tren_ld
10T0004C10,C10,Aeropuerto-T4                           -Villalba,0,11,10007,10007,Majadahonda,40.474289,-3.846293,27.153,49.792,,,,,
10T0004C10,C10,Aeropuerto-T4                           -Villalba,0,12,10005,10005,Las Rozas,40.494289,-3.868175,30.046,49.792,,,,,
10T0004C10,C10,Aeropuerto-T4                           -Villalba,0,13,10100,10100,Pinar De Las Rozas,40.522267,-3.882248,33.377,49.792,,,,,
10T0004C10,C10,Aeropuerto-T4                           -Villalba,0,14,10101,10101,Las Matas,40.552387,-3.896766,36.943,49.792,,,,,
10T0004C10,C10,Aeropuerto-T4                           -Villalba,0,15,10103,10103,Torrelodones,40.574554,-3.956601,42.567,49.792,,,,,
10T0004C10,C10,Aeropuerto-T4                           -Villalba,0,16,10104,10104,Galapagar-La Navata,40.600314,-3.982259,46.158,49.792,,,,,
10T0004C10,C10,Aeropuerto-T4                           -Villalba,0,17,10200,10200,Villalba De Guadarrama,40.626489,-4.008030,49.792,49.792,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,0,70200,70200,Guadalajara,40.644193,-3.182260,0.000,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,1,70105,70105,Azuqueca,40.561077,-3.265397,11.605,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,2,70104,70104,Meco,40.534673,-3.298681,15.671,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,3,70107,70107,Alcalá De Henares-Universidad,40.505430,-3.335326,20.162,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,4,70103,70103,Alcalá De Henares,40.489081,-3.366246,23.346,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,5,70111,70111,La Garena,40.480545,-3.393006,25.800,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,6,70112,70112,Soto Del Henares,40.463964,-3.441408,30.290,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,7,70102,70102,Torrejón De Ardoz,40.454789,-3.479730,33.689,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,8,70101,70101,San Fernando De Henares,40.442780,-3.533987,38.471,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,9,70108,70108,Coslada,40.423237,-3.561111,41.632,63.377,7,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,10,70100,70100,Vicálvaro,40.401252,-3.595897,45.459,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,11,70109,70109,Santa Eugenia,40.386955,-3.608986,47.397,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,12,70001,70001,Vallecas,40.381961,-3.624583,48.830,63.377,1,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,13,70003,70003,El Pozo,40.376038,-3.656141,51.583,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,14,70002,70002,Asamblea De Madrid-Entrevías,40.381862,-3.668045,52.782,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,15,18000,18000,Madrid-Atocha Cercanías,40.406619,-3.689439,56.077,63.377,1,,,,TRUE
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,16,18001,18001,Madrid-Recoletos,40.423373,-3.690931,57.945,63.377,,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,17,18002,18002,Madrid-Nuevos Ministerios,40.446627,-3.692347,60.533,63.377,6 8 10,,,,
10T0005C2,C2,Guadalajara                             -Chamartín - Clara Campoamor,0,18,17000,17000,Madrid-Chamartín-Clara Campoamor,40.471179,-3.682952,63.377,63.377,1 10,,,,TRUE
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,0,17000,17000,Madrid-Chamartín-Clara Campoamor,40.471179,-3.682952,0.000,63.377,1 10,,,,TRUE
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,1,18002,18002,Madrid-Nuevos Ministerios,40.446627,-3.692347,2.843,63.377,6 8 10,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,2,18001,18001,Madrid-Recoletos,40.423373,-3.690931,5.432,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,3,18000,18000,Madrid-Atocha Cercanías,40.406619,-3.689439,7.299,63.377,1,,,,TRUE
