nombre,cod_depend,cod_tramo,cod_tipo_d,cod_estado,cod_munici,direccion,codigo_pos,cod_titula,utm_x,utm_y,v_desde,id_provinc
SANTA PERPETUA DE MOGODA LA FLORIDA,"77003","022220010",P,EX,"82606",,"08130",AD,933459.5252,4609713.1146,1,8
MOLLET-SANTA ROSA,"77004","022220010",A,EX,"081249",,"08100",AD,934348.1196,4611437.36,1,8
PALOU (CGD),A7701,"022220010",G,EX,"080961",,"08403",AD,939515.6651,4617482.0395,1,8
"KM. 33,700 ( LLERONA )","77101","022220030",Y,FS,"080863",,"08520",AD,941148.3752,4624517.8542,1,8
FIGARO,"77103","022220040",T,EX,"081347",,"08590",AD,938547.8885,4632392.3006,1,8
SANT MARTI DE CENTELLES,"77104","022220040",T,EX,"082248",,"08592",AD,936399.8727,4636527.2201,1,8
CENTELLES,"77105","022220040",E,EX,"080673",,"08540",AD,933949.8465,4640699.4684,1,8
BALENYA-ELS HOSTALETS (APD),"77106","022220040",P,EX,"080174",,"08550",AD,934733.1472,4642481.4413,1,8
BALENYA-TONA-SEVA,"77107","022220040",A,EX,"080174",,"08550",AD,935724.809,4645555.6329,1,8
"KM. 63,094 ( TARADELL-MONT-RODOM )","77108","022220040",Y,FS,"082785",,"08552",AD,936234.1056,4649763.9188,1,8
MANLLEU,"77110","022220050",T,EX,"081120",,"08560",AD,936455.3146,4663214.5566,1,8
TORELLO,"77111","022220050",T,EX,"082858","Plaza de la estación,s/n","08570",AD,935328.998,4668957.0816,1,8
BORGONYA (APD),"77112","022220050",P,EX,"082652",,"08571",AD,933745.884,4670265.5558,1,8
SANT QUIRZE DE BESORA-MONT.,"77113","022220050",T,EX,"082378",,"08580",AD,931467.8188,4674607.1113,1,8
"BIF. A GRANDEIRA AG. KM. 85,0",B0861,"160820120",B,EX,"150780",,"15702",AV,47911.5036,4759883.0461,8,15
CHINCHILLA DE MONTEARAGON,"60701","033000186",G,EX,"020292",,"02520",AD,613193.0958,4306899.0457,1,2
LA MARUCA (CGD),"16404","061440030",G,EX,"330045",,"33401",AD,263526.6753,4828915.3179,1,33
PORTAS,"23006","068280015",A,EX,"360405",,"36658",AD,35691.5492,4730546.8003,1,36
RIO BERNESGA,"15019","068360010",E,EX,"241627",,"24391",AD,287399.1033,4714614.6327,1,24
EL MUSEL,XX010,"060001503",O,EX,"330241",,"33212",AD,281934.9566,4825916.3413,1,33
"AGUJA KM 8,640",XX012,"050005001",O,EX,"280796",,"28021",AD,441038.9593,4466361.5722,1,28
MALAGA-PUERTO,"54414","040004303",F,FS,"290672",,"29001",OT,373263.9213,4063855.7968,1,29
MADRID-ABROÑIGAL,"95104","039340010",O,EX,"280796",,"28053",AD,442194.4771,4470559.247,1,28
MADRID-P. DE ATOCHA ALMUDENA GRANDES,"60000","140100010",E,EX,"280796",,"28045",AV,441402.6051,4473078.5374,1,28
MANZANARES,"50100","044000010",E,EX,"130533",,"13200",AD,467916.9636,4317486.1861,1,13
VALDEPEÑAS,"50102","044000020",E,EX,"130874",,"13300",AD,465600.3889,4290584.129,1,13
BIF. TAMARGUILLO,B5102,"044000220",B,EX,"410917",,"41008",AD,238879.4551,4146001.2975,1,41
KM. 18.8,"05018","044660020",Y,FS,"290154",,"29200",AD,363545.3249,4099598.9234,1,29
CASARICHE,"54202","044300070",T,EX,"410264",,"41580",AD,343613.2192,4129014.3233,1,41
TORIL,"35208","055000130",Y,FS,"101822",,"10520",AD,261316.571,4419782.4936,1,10
LA BAZAGONA,"35209","055000130",T,EX,"101822",,"10520",AD,252315.5891,4422372.4187,1,10
MIRABEL,"35301","055000150",A,EX,"101231",,"10540",AD,223817.8512,4417894.6238,1,10
CASAS DE MILLAN (APD),"35302","055000150",P,EX,"100566",,"10592",AD,215313.1587,4412193.3072,1,10
CAÑAVERAL,"35303","055000150",A,EX,"100456",,"10820",AD,211034.6657,4409783.8098,1,10
CASAR DE CACERES,"35305","055000155",T,EX,"100494",,"10190",AD,204390.674,4383631.7026,51,10
ALDEA MORET,"35401","055020004",Y,FS,"100377",,"10195",AD,208121.4776,4372053.9992,1,10
ARROYO DE MALPARTIDA,"35402","055020004",A,EX,"100377",,"10005",AD,195937.7313,4374686.8361,1,10
ALISEDA,"35403","055020004",Y,FS,"100187",,"10550",AD,181063.5633,4370979.6402,1,10
SAN VICENTE DE ALCANTARA,"35405","055020006",A,EX,"061232",,"06500",AD,145358.5816,4367208.3586,1,6
VILLASECA Y MOCEJON,"37008","055040015",A,EX,"451967",,"45260",AD,427328.7066,4422099.4746,1,45
VILLALUENGA-ASLAND,"91002","055040025",E,EX,"451881",,"45520",AD,422874.5624,4429319.3859,1,45
CAÑADA DEL HOYO (APD),"66103","033100050",F,FS,"160468",,"16340",AD,594849.7576,4423223.3215,1,16
ARGUISUELAS (APD),"66105","033100060",F,FS,"160246",,"16360",AD,601620.3885,4410510.9965,1,16
SANTA EULALIA DEL CAMPO,"67105","026100070",A,EX,"442097",,"44360",AD,642794.2752,4492714.6743,1,44
